id,flight_id,pour_no,whiskey_id,rating,profiness,viscocity,complexity,finish_duration,created_at,updated_at,deleted_at
617,489,2,2958,"3.60",,,,,2025-04-28 11:37:55,2025-04-28 11:37:55,
618,489,3,2957,"3.10",,,,,2025-04-28 11:37:55,2025-04-28 11:37:55,
622,492,1,2836,"3.50",,,,,2025-04-28 13:29:56,2025-04-28 13:29:56,
623,492,2,2954,"3.80",,,,,2025-04-28 13:29:56,2025-04-28 13:29:56,
624,492,3,823,"4.30",,,,,2025-04-28 13:29:56,2025-04-28 13:29:56,
625,492,4,1135,"4.70",,,,,2025-04-28 13:29:56,2025-04-28 13:29:56,
626,493,1,2783,"10.00",,,,,2025-04-30 05:19:14,2025-04-30 05:19:14,
634,501,1,1487,"10.00",,,,,2025-04-30 06:29:08,2025-04-30 06:29:08,
643,509,1,471,"10.00",,,,,2025-04-30 07:47:59,2025-04-30 07:47:59,
644,510,1,52,"10.00","10.00","10.00","9.90","10.00",2025-04-30 07:53:23,2025-04-30 07:53:23,
656,522,1,2929,"5.70",,,"9.90",,2025-04-30 11:51:52,2025-04-30 11:51:52,
657,523,1,646,"7.00",,,,"7.80",2025-04-30 12:33:22,2025-04-30 12:33:22,
664,530,1,456,"7.60","6.00","6.00","6.00","6.50",2025-05-02 00:29:58,2025-05-02 00:29:58,
666,532,1,2568,"6.60","5.50","5.50","5.50","4.50",2025-05-02 23:15:53,2025-05-02 23:15:53,
667,533,1,836,"7.20",,,,,2025-05-03 01:28:53,2025-05-03 01:28:53,
668,534,1,2228,"8.40","3.00","7.50","7.50","6.50",2025-05-03 01:40:45,2025-05-03 01:40:45,
669,535,1,2634,"6.80","4.00","6.00","6.00","6.00",2025-05-03 23:22:10,2025-05-03 23:22:10,
670,536,1,545,"5.80","4.50","5.50","5.00","5.00",2025-05-03 23:36:24,2025-05-03 23:36:24,
671,536,2,2631,"5.50","5.30","5.30","5.30","6.00",2025-05-03 23:36:24,2025-05-03 23:36:24,
672,536,3,854,"5.40","5.50","5.50","6.00","6.00",2025-05-03 23:36:24,2025-05-03 23:36:24,
673,536,4,1486,"5.60","5.00","5.30","5.30","5.40",2025-05-03 23:36:24,2025-05-03 23:36:24,
674,537,1,2885,"7.80","6.50","7.50","9.50","7.50",2025-05-04 00:20:35,2025-05-04 00:20:35,
675,538,1,1911,"7.00","6.00","6.50","7.00","6.50",2025-05-04 00:42:38,2025-05-04 00:42:38,
676,539,1,840,"6.90","4.50","6.70","6.70","7.50",2025-05-05 00:26:59,2025-05-05 00:26:59,
